pitcher,team,ra9,factor,ip
Cam Schlittler,New York Yankees,2.9,0.674,139
Paul Skenes,Pittsburgh Pirates,2.93,0.681,254
Chris Sale,Atlanta Braves,2.94,0.683,230
Shohei Ohtani,Los Angeles Dodgers,2.94,0.683,101
Zack Wheeler,Philadelphia Phillies,2.97,0.691,238
Cristopher Sánchez,Philadelphia Phillies,3.01,0.699,299
Robert Suarez,San Diego Padres,3.02,0.701,100
Tarik Skubal,Detroit Tigers,3.04,0.706,249
Mason Miller,Athletics,3.12,0.725,97
Jacob Misiorowski,Milwaukee Brewers,3.13,0.729,133
Yoshinobu Yamamoto,Los Angeles Dodgers,3.13,0.728,231
Jason Adam,San Diego Padres,3.19,0.742,96
Drew Rasmussen,Tampa Bay Rays,3.2,0.743,176
Jacob Latz,Texas Rangers,3.24,0.752,105
Hunter Brown,Houston Astros,3.25,0.754,198
Dylan Lee,Atlanta Braves,3.26,0.757,99
Aroldis Chapman,Pittsburgh Pirates,3.26,0.757,82
Bryan Hudson,Milwaukee Brewers,3.29,0.764,62
Chase Burns,Cincinnati Reds,3.3,0.766,111
Eduard Bazardo,Seattle Mariners,3.33,0.773,82
Hunter Greene,Cincinnati Reds,3.34,0.777,124
Brent Headrick,New York Yankees,3.37,0.783,38
Raisel Iglesias,Atlanta Braves,3.37,0.783,93
Abner Uribe,Milwaukee Brewers,3.39,0.787,74
Jakob Junis,Cincinnati Reds,3.4,0.789,99
Tyler Rogers,San Francisco Giants,3.41,0.791,112
Emmanuel Clase,Cleveland Guardians,3.41,0.793,58
Evan Sisk,Pittsburgh Pirates,3.42,0.794,34
Alex Vesia,Los Angeles Dodgers,3.42,0.795,87
Parker Messick,Cleveland Guardians,3.43,0.797,94
Edwin Díaz,New York Mets,3.44,0.8,61
Wandy Peralta,San Diego Padres,3.45,0.803,81
Steven Okert,Houston Astros,3.46,0.803,80
Jacob deGrom,Texas Rangers,3.5,0.814,192
Hunter Gaddis,Cleveland Guardians,3.5,0.813,90
Jhoan Duran,Minnesota Twins,3.51,0.816,89
Ranger Suarez,Philadelphia Phillies,3.52,0.819,237
Bryan King,Houston Astros,3.52,0.817,74
Anthony Bender,Miami Marlins,3.53,0.819,84
Jimmy Herget,Colorado Rockies,3.53,0.82,50
Sean Newcomb,Athletics,3.54,0.824,103
Taylor Clarke,Kansas City Royals,3.54,0.824,66
Tyler Glasnow,Los Angeles Dodgers,3.55,0.826,147
Cade Smith,Cleveland Guardians,3.55,0.825,109
Luke Weaver,New York Yankees,3.55,0.824,104
Troy Melton,Detroit Tigers,3.55,0.825,58
Garrett Whitlock,Boston Red Sox,3.55,0.826,67
Aaron Ashby,Milwaukee Brewers,3.57,0.83,87
Mike Vasil,Chicago White Sox,3.57,0.831,61
Reynaldo López,Atlanta Braves,3.58,0.831,97
Max Fried,Atlanta Braves,3.59,0.835,248
Bryan Woo,Seattle Mariners,3.61,0.839,250
Jared Koenig,Milwaukee Brewers,3.62,0.842,64
Tyler Phillips,Miami Marlins,3.63,0.843,104
Cade Horton,Chicago Cubs,3.63,0.842,71
Carlos Estévez,Philadelphia Phillies,3.63,0.844,62
Nathan Eovaldi,Texas Rangers,3.64,0.847,239
Justin Wrobleski,Los Angeles Dodgers,3.64,0.845,126
Colin Holderman,Pittsburgh Pirates,3.64,0.846,49
Logan Gilbert,Seattle Mariners,3.65,0.848,255
Adrian Morejon,San Diego Padres,3.65,0.849,110
Kyle Finnegan,Washington Nationals,3.65,0.849,96
Brooks Raley,New York Mets,3.65,0.848,28
Kenley Jansen,Boston Red Sox,3.65,0.848,57
Gage Jump,Athletics,3.66,0.852,30
Braxton Ashcraft,Pittsburgh Pirates,3.68,0.856,133
Ronny Henriquez,Miami Marlins,3.68,0.856,44
Blake Snell,San Francisco Giants,3.68,0.855,78
Kyle Harrison,San Francisco Giants,3.7,0.86,122
Didier Fuentes,Atlanta Braves,3.7,0.86,29
Danny Coulombe,Texas Rangers,3.7,0.86,26
Chase Silseth,Los Angeles Angels,3.71,0.862,29
Gabe Speier,Seattle Mariners,3.71,0.863,37
Daniel Lynch IV,Kansas City Royals,3.72,0.865,90
Will Klein,Los Angeles Dodgers,3.72,0.865,31
Ronel Blanco,Houston Astros,3.72,0.864,96
Kris Bubic,Kansas City Royals,3.73,0.867,120
Kevin Kelly,Tampa Bay Rays,3.73,0.867,62
Brant Hurter,Detroit Tigers,3.73,0.868,81
Blake Treinen,Los Angeles Dodgers,3.73,0.867,41
Clarke Schmidt,New York Yankees,3.73,0.868,81
Corbin Burnes,Baltimore Orioles,3.73,0.866,116
Logan Webb,San Francisco Giants,3.74,0.87,289
Tyler Holton,Detroit Tigers,3.74,0.87,121
Tanner Scott,San Diego Padres,3.74,0.87,95
Bryan Baker,Tampa Bay Rays,3.74,0.87,71
Nick Pivetta,Boston Red Sox,3.75,0.871,167
Michael King,San Diego Padres,3.76,0.873,205
Chad Patrick,Milwaukee Brewers,3.76,0.875,132
Clay Holmes,New York Yankees,3.76,0.873,177
Garrett Crochet,Chicago White Sox,3.76,0.873,211
Bryce Miller,Seattle Mariners,3.77,0.876,166
Joe Ryan,Minnesota Twins,3.78,0.879,244
Yuki Matsui,San Diego Padres,3.78,0.878,90
Huascar Brazobán,New York Mets,3.79,0.881,95
Jack Dreyer,Los Angeles Dodgers,3.79,0.882,76
Hurston Waldrep,Atlanta Braves,3.79,0.882,34
Walbert Ureña,Los Angeles Angels,3.8,0.883,67
Bradgley Rodriguez,San Diego Padres,3.8,0.882,34
Andrés Muñoz,Seattle Mariners,3.8,0.883,89
Michael Wacha,Kansas City Royals,3.81,0.886,271
Andrew Abbott,Cincinnati Reds,3.81,0.886,239
Isaac Mattson,Pittsburgh Pirates,3.81,0.885,51
Pierce Johnson,Atlanta Braves,3.81,0.885,80
Edwin Uceta,Tampa Bay Rays,3.81,0.886,62
Kolby Allard,Cleveland Guardians,3.81,0.885,39
Tyson Miller,Chicago Cubs,3.81,0.885,25
Porter Hodge,Chicago Cubs,3.81,0.886,17
JoJo Romero,St. Louis Cardinals,3.82,0.888,94
Tayler Scott,Houston Astros,3.82,0.889,27
Nick Martinez,Cincinnati Reds,3.83,0.889,245
Brandon Woodruff,Milwaukee Brewers,3.83,0.891,75
DL Hall,Milwaukee Brewers,3.83,0.891,48
Trevor Megill,Milwaukee Brewers,3.83,0.89,76
Spencer Schwellenbach,Atlanta Braves,3.83,0.891,115
Martín Pérez,San Diego Padres,3.84,0.891,156
Rico Garcia,Baltimore Orioles,3.84,0.892,33
Jovani Morán,Boston Red Sox,3.84,0.893,33
Cade Gibson,Miami Marlins,3.84,0.893,33
Matt Brash,Seattle Mariners,3.84,0.893,28
Bryan Hoeing,San Diego Padres,3.84,0.893,21
Foster Griffin,Washington Nationals,3.85,0.895,91
Randy Rodríguez,San Francisco Giants,3.85,0.895,51
Derek Law,Washington Nationals,3.85,0.895,36
Carlos Rodón,New York Yankees,3.86,0.896,228
Austin Warren,New York Mets,3.86,0.898,30
Orion Kerkering,Philadelphia Phillies,3.86,0.897,90
José Buttó,New York Mets,3.86,0.897,70
Logan Henderson,Milwaukee Brewers,3.87,0.899,23
Luis Gil,New York Yankees,3.87,0.899,95
Josh Hader,Houston Astros,3.87,0.9,60
Joe Jiménez,Atlanta Braves,3.87,0.898,27
Louis Varland,Minnesota Twins,3.88,0.901,106
JT Brubaker,San Francisco Giants,3.88,0.901,39
Tim Herrin,Cleveland Guardians,3.88,0.902,78
Shawn Armstrong,Chicago Cubs,3.88,0.901,92
Ryan Walker,San Francisco Giants,3.88,0.902,69
Eli Morgan,Cleveland Guardians,3.88,0.901,17
Freddy Peralta,Milwaukee Brewers,3.9,0.906,260
Braydon Fisher,Toronto Blue Jays,3.9,0.907,73
John King,St. Louis Cardinals,3.91,0.909,87
Spencer Turnbull,Philadelphia Phillies,3.91,0.909,22
Framber Valdez,Houston Astros,3.92,0.911,275
Fernando Cruz,Cincinnati Reds,3.92,0.912,88
John Schreiber,Kansas City Royals,3.92,0.91,90
Erik Sabrowski,Cleveland Guardians,3.92,0.91,22
Reese Olson,Detroit Tigers,3.92,0.911,86
David Robertson,Texas Rangers,3.92,0.911,29
Connelly Early,Boston Red Sox,3.93,0.914,81
Chase Shugart,Pittsburgh Pirates,3.93,0.914,53
Andrew Kittredge,St. Louis Cardinals,3.93,0.912,60
Gavin Stone,Los Angeles Dodgers,3.93,0.914,56
Gavin Williams,Cleveland Guardians,3.94,0.916,227
Gerrit Cole,New York Yankees,3.94,0.915,70
Bennett Sousa,Houston Astros,3.94,0.916,30
Buck Farmer,Cincinnati Reds,3.94,0.915,28
Riley O'Brien,St. Louis Cardinals,3.95,0.918,62
Jonathan Loáisiga,Arizona Diamondbacks,3.95,0.917,28
Emilio Pagán,Cincinnati Reds,3.95,0.918,41
Daniel Palencia,Chicago Cubs,3.95,0.918,31
Noah Cameron,Kansas City Royals,3.96,0.92,159
Hogan Harris,Athletics,3.96,0.92,103
PJ Poulin,Washington Nationals,3.96,0.921,30
Garrett Cleavinger,Tampa Bay Rays,3.96,0.92,80
Justin Martinez,Arizona Diamondbacks,3.96,0.92,29
Payton Tolle,Boston Red Sox,3.97,0.922,64
Spencer Miles,Toronto Blue Jays,3.97,0.923,48
George Soriano,St. Louis Cardinals,3.97,0.923,32
Kevin Ginkel,Arizona Diamondbacks,3.97,0.922,58
Matt Strahm,Philadelphia Phillies,3.97,0.922,86
Andrew Alvarez,Washington Nationals,3.98,0.924,32
Ryan Thompson,Arizona Diamondbacks,3.98,0.925,77
Bryan Abreu,Houston Astros,3.98,0.925,99
Clayton Kershaw,Los Angeles Dodgers,3.98,0.925,67
Brandon Walter,Houston Astros,3.98,0.926,32
Kirby Yates,Texas Rangers,3.98,0.925,49
Justin Steele,Chicago Cubs,3.98,0.925,54
Lake Bachar,Miami Marlins,3.99,0.926,85
Sam Bachman,Los Angeles Angels,3.99,0.928,36
Brad Keller,Boston Red Sox,3.99,0.928,88
Steven Wilson,Chicago White Sox,3.99,0.928,33
Ben Lively,Cleveland Guardians,3.99,0.927,87
Shota Imanaga,Chicago Cubs,4.0,0.93,242
Seth Lugo,Kansas City Royals,4.0,0.929,255
Luis Morales,Athletics,4.0,0.929,29
Anthony Banda,Los Angeles Dodgers,4.01,0.931,91
Jeremiah Estrada,San Diego Padres,4.01,0.931,88
Ty Madden,Detroit Tigers,4.01,0.933,20
Kyle Leahy,St. Louis Cardinals,4.02,0.935,148
Dennis Santana,Pittsburgh Pirates,4.02,0.935,103
Jorge López,Chicago Cubs,4.02,0.935,21
Michael McGreevy,St. Louis Cardinals,4.03,0.937,140
Casey Mize,Detroit Tigers,4.03,0.938,188
Christian Scott,New York Mets,4.03,0.936,59
Caleb Kilian,San Francisco Giants,4.03,0.937,33
Ryan Yarbrough,Toronto Blue Jays,4.03,0.937,107
David Morgan,San Diego Padres,4.03,0.936,47
Quinn Priester,Boston Red Sox,4.03,0.937,114
Collin Snider,Seattle Mariners,4.03,0.938,16
Trey Yesavage,Toronto Blue Jays,4.04,0.94,55
Jacob Webb,Baltimore Orioles,4.04,0.94,94
Nestor Cortes,New York Yankees,4.05,0.94,70
Edgardo Henriquez,Los Angeles Dodgers,4.06,0.943,30
Juan Morillo,Arizona Diamondbacks,4.06,0.944,30
Kevin Gausman,Toronto Blue Jays,4.07,0.946,277
Davis Martin,Chicago White Sox,4.07,0.945,193
Dylan Cease,San Diego Padres,4.07,0.946,255
Justin Slaten,Boston Red Sox,4.07,0.946,22
Clayton Beeter,Washington Nationals,4.08,0.947,23
Ethan Roberts,Chicago Cubs,4.08,0.947,23
Drew Pomeranz,Chicago Cubs,4.08,0.949,53
Ryan Bergert,Kansas City Royals,4.08,0.948,46
Yariel Rodríguez,Toronto Blue Jays,4.08,0.948,78
Brendon Little,Toronto Blue Jays,4.08,0.948,59
Joel Payamps,Milwaukee Brewers,4.08,0.948,24
Javier Assad,Chicago Cubs,4.09,0.951,108
Michael Petersen,Miami Marlins,4.09,0.95,34
Greg Weissert,Boston Red Sox,4.09,0.951,95
Kyle Hurt,Los Angeles Dodgers,4.09,0.951,25
Matthew Boyd,Chicago Cubs,4.09,0.951,132
Pablo López,Minnesota Twins,4.09,0.951,119
Michael Kopech,Los Angeles Dodgers,4.09,0.951,27
Daniel Hudson,Los Angeles Dodgers,4.09,0.95,25
Ben Brown,Chicago Cubs,4.1,0.952,154
Ron Marinaccio,San Diego Padres,4.1,0.952,38
Paul Blackburn,New York Mets,4.1,0.953,65
Justin Sterner,Athletics,4.1,0.953,74
Shane Bieber,Toronto Blue Jays,4.1,0.953,24
Jesus Tinoco,Miami Marlins,4.1,0.954,16
Sonny Gray,St. Louis Cardinals,4.12,0.957,251
Tejay Antone,Cincinnati Reds,4.12,0.958,20
Tyler Samaniego,Boston Red Sox,4.12,0.958,20
Eduardo Rodriguez,Arizona Diamondbacks,4.13,0.959,207
Orlando Ribalta,Washington Nationals,4.13,0.96,22
Cody Bradford,Texas Rangers,4.13,0.959,30
Tanner Bibee,Cleveland Guardians,4.14,0.962,274
Max Meyer,Miami Marlins,4.14,0.963,151
Jake Bennett,Boston Red Sox,4.14,0.963,26
Kody Funderburk,Minnesota Twins,4.14,0.961,25
Hunter Strickland,Los Angeles Angels,4.14,0.963,29
Robbie Ray,San Francisco Giants,4.15,0.965,196
Grant Holmes,Atlanta Braves,4.15,0.964,169
Yennier Cano,Baltimore Orioles,4.15,0.965,85
Cam Booser,Boston Red Sox,4.15,0.965,17
Peter Lambert,Colorado Rockies,4.16,0.966,93
Ryan Pepiot,Tampa Bay Rays,4.16,0.966,152
Ryan Helsley,St. Louis Cardinals,4.16,0.967,60
Bryce Jarvis,Arizona Diamondbacks,4.16,0.967,24
Alex Faedo,Detroit Tigers,4.16,0.967,23
Nolan McLean,New York Mets,4.17,0.97,118
Shane McClanahan,Tampa Bay Rays,4.17,0.969,73
Spencer Arrighetti,Houston Astros,4.17,0.97,127
Brad Lord,Washington Nationals,4.17,0.969,129
Shane Drohan,Milwaukee Brewers,4.17,0.969,47
José A. Ferrer,Washington Nationals,4.17,0.97,79
David Bednar,Pittsburgh Pirates,4.17,0.969,92
Tony Santillan,Cincinnati Reds,4.17,0.969,75
Jesse Chavez,Atlanta Braves,4.17,0.969,25
José Soriano,Los Angeles Angels,4.18,0.972,242
AJ Blubaugh,Houston Astros,4.18,0.971,49
Luis Ortiz,Pittsburgh Pirates,4.18,0.97,107
Joe Musgrove,San Diego Padres,4.18,0.971,40
A.J. Puk,Arizona Diamondbacks,4.18,0.972,28
George Kirby,Seattle Mariners,4.19,0.974,248
Michael Soroka,Chicago White Sox,4.19,0.973,167
Grant Taylor,Chicago White Sox,4.19,0.974,38
Tyler Wells,Baltimore Orioles,4.19,0.974,36
Grant Anderson,Milwaukee Brewers,4.19,0.974,73
Lucas Erceg,Kansas City Royals,4.19,0.973,89
Elvis Peguero,Milwaukee Brewers,4.19,0.975,20
Eric Lauer,Toronto Blue Jays,4.2,0.976,127
Griffin Jax,Minnesota Twins,4.2,0.975,118
Tommy Nance,Toronto Blue Jays,4.2,0.977,27
Kyle Bradish,Baltimore Orioles,4.21,0.978,89
J.T. Ginn,Athletics,4.21,0.979,136
Joey Cantillo,Cleveland Guardians,4.21,0.977,137
Brock Burke,Los Angeles Angels,4.21,0.978,73
Shelby Miller,Detroit Tigers,4.21,0.978,50
Mitch Farris,Los Angeles Angels,4.22,0.98,31
Phil Maton,New York Mets,4.22,0.981,87
Chris Martin,Boston Red Sox,4.22,0.981,43
Cole Ragans,Kansas City Royals,4.23,0.982,146
Will Vest,Detroit Tigers,4.23,0.983,94
Blas Castaño,Colorado Rockies,4.23,0.983,20
Mick Abel,Minnesota Twins,4.23,0.984,20
Angel Zerpa,Kansas City Royals,4.23,0.983,60
Ryan Fernandez,St. Louis Cardinals,4.23,0.984,26
AJ Smith-Shawver,Atlanta Braves,4.24,0.984,26
Dylan Floro,Arizona Diamondbacks,4.24,0.985,27
José Ruiz,Philadelphia Phillies,4.24,0.986,20
Ryan Weathers,Miami Marlins,4.25,0.987,116
Trevor Rogers,Baltimore Orioles,4.25,0.987,188
Carmen Mlodzinski,Pittsburgh Pirates,4.25,0.989,147
Jameson Taillon,Chicago Cubs,4.25,0.988,211
Tyler Mahle,Texas Rangers,4.25,0.988,108
Tim Hill,New York Yankees,4.25,0.988,96
Mason Englert,Tampa Bay Rays,4.25,0.988,52
Trent Thornton,Seattle Mariners,4.25,0.987,74
Pedro Avila,Cleveland Guardians,4.25,0.988,33
Sean Hjelle,San Francisco Giants,4.25,0.988,32
Joe Mantiply,Arizona Diamondbacks,4.25,0.987,24
Cole Winn,Texas Rangers,4.26,0.991,49
José Berríos,Toronto Blue Jays,4.26,0.99,176
Tommy Kahnle,New York Yankees,4.26,0.99,55
Beau Brieske,Detroit Tigers,4.26,0.989,27
Seth Martinez,Houston Astros,4.26,0.99,21
Jordan Leasure,Chicago White Sox,4.27,0.992,38
Robert Garcia,Washington Nationals,4.27,0.992,62
Jason Foley,Detroit Tigers,4.27,0.993,24
Andrew Chafin,Texas Rangers,4.27,0.992,22
Caleb Thielbar,Minnesota Twins,4.28,0.996,75
José Fermin,Los Angeles Angels,4.28,0.995,19
Aaron Bummer,Atlanta Braves,4.28,0.995,54
Tyler Gilbert,Chicago White Sox,4.28,0.995,31
Jonathan Bowlan,Kansas City Royals,4.3,0.998,50
Richard Lovelady,Washington Nationals,4.31,1.001,29
Matt Gage,San Francisco Giants,4.31,1.001,25
Shane Smith,Chicago White Sox,4.31,1.001,88
Jesse Scholtens,Tampa Bay Rays,4.32,1.005,37
Paul Sewald,Arizona Diamondbacks,4.32,1.003,29
